"","revenue","budget","primary_genre"
"1904",244527583,4e+07,"Adventure"
"1905",84563118,5e+06,"Action"
"1910",267447150,858000,"Animation"
"1911",271841,2e+06,"Action"
"1912",34670720,1.4e+07,"Drama"
"1913",30925690,4e+07,"Action"
"1914",8373585,7e+06,"Drama"
"1915",136766062,5.4e+07,"Crime"
"1916",1277401,1227401,"Mystery"
"1917",1060056,6.2e+07,"Drama"
"1918",17507368,1.5e+07,"Mystery"
"1919",1.9e+07,1e+07,"Comedy"
"1920",481840909,7e+07,"Drama"
"1925",21288692,2.5e+07,"Animation"
"1926",35841901,2e+07,"Adventure"
"1931",8153677,5e+06,"Drama"
"1940",38625550,1.4e+07,"Comedy"
"1944",39514713,2.8e+07,"Comedy"
"1945",58662452,4e+07,"Adventure"
"1946",222724172,3.2e+07,"Adventure"
"1950",44547681,5e+07,"Action"
"1956",6706368,160000,"Documentary"
"1957",10631333,1.5e+07,"Fantasy"
"1959",111858363,1.1e+07,"Drama"
"1964",36602000,1.8e+07,"Comedy"
"1968",8551228,6e+06,"Crime"
"1970",205843612,4e+06,"Family"
"1973",222300000,4e+07,"Animation"
"1974",50752337,1e+07,"Comedy"
"1977",215880014,4e+06,"Adventure"
"1979",87404651,4e+06,"Animation"
"1981",47431461,37931000,"Adventure"
"1982",71215869,1200000,"Fantasy"
"1985",11137801,2.5e+07,"Adventure"
"1986",6.2e+07,4.2e+07,"Action"
"1988",5.1e+07,6e+06,"Fantasy"
"1989",5656087,1.9e+07,"Fantasy"
"1992",69821334,8e+06,"Comedy"
"1997",3.3e+07,1.7e+07,"Science Fiction"
"1999",55041738,1.7e+07,"Horror"
"2005",11582891,10500000,"Drama"
"2006",33697647,1e+07,"Crime"
"2007",3.33e+08,2.8e+07,"Adventure"
"2008",30471420,4e+06,"Fantasy"
"2010",20766616,1e+07,"Horror"
"2011",7433663,1e+07,"Action"
"2013",21200000,5e+06,"Horror"
"2014",1.4e+07,8e+05,"Drama"
"2015",27100027,13800000,"Drama"
"2016",191502426,3e+07,"Horror"
"2017",65705772,2.6e+07,"Drama"
"2018",103891409,7.3e+07,"Crime"
"2019",40542,3e+05,"Drama"
"2022",12729678,7200000,"Crime"
"2024",33736689,7500000,"Drama"
"2027",9e+06,1.8e+07,"Adventure"
"2030",3713768,1e+06,"Adventure"
"2031",14665733,7e+06,"Fantasy"
"2032",40577001,1.5e+07,"Fantasy"
"2033",84542002,9e+06,"Drama"
"2035",15502112,2.5e+07,"Adventure"
"2036",23686027,6500000,"Comedy"
"2042",6e+07,5e+06,"Action"
"2045",48585416,6e+07,"Thriller"
"2046",37672350,2e+07,"Comedy"
"2052",33395426,3200000,"Horror"
"2053",20158808,2.7e+07,"Drama"
"2054",16283667,3.2e+07,"Drama"
"2057",4710749,5e+06,"Drama"
"2059",131183530,4.5e+07,"Horror"
"2066",73326666,1.5e+07,"Fantasy"
"2068",2200000,1500000,"Crime"
"2069",7900000,2e+06,"Comedy"
"2070",12600000,3500000,"Crime"
"2071",6e+06,4e+06,"Action"
"2072",1.3e+07,3e+06,"Mystery"
"2073",7e+06,2135161,"Crime"
"2074",2e+06,1200000,"Crime"
"2075",10250000,2500000,"Adventure"
"2076",7e+06,1200000,"Comedy"
"2078",7e+06,1200000,"Crime"
"2080",16757163,1.3e+07,"Music"
"2081",203,250,"Drama"
"2085",57269863,3.5e+07,"Adventure"
"2086",76270454,2.5e+07,"Crime"
"2098",4500000,1103000,"Mystery"
"2121",22921898,1.2e+07,"Drama"
"2122",501818,250000,"Thriller"
"2126",18253415,2e+07,"Comedy"
"2127",777423,2.5e+07,"Drama"
"2133",51249404,2e+07,"Comedy"
"2135",103173635,2.8e+07,"Comedy"
"2137",21486757,1e+07,"Comedy"
"2146",7e+06,8e+05,"Horror"
"2154",8479793,4e+07,"Comedy"
"2157",243240178,4e+07,"Drama"
"2158",266614059,3.8e+07,"Drama"
"2161",244386864,3.3e+07,"Action"
"2163",124494,2e+06,"Action"
"2166",41610884,5.5e+07,"Action"
"2167",72527595,1.4e+07,"Horror"
"2171",2075084,2.5e+07,"Adventure"
"2176",19629760,1.5e+07,"Horror"
"2177",21706101,8e+06,"Comedy"
"2178",10389003,1e+07,"Comedy"
"2179",5.3e+07,2e+07,"Fantasy"
"2182",171757863,6e+07,"Adventure"
"2184",30331165,1.7e+07,"Comedy"
"2185",71485043,8.5e+07,"Drama"
"2186",631221,1100000,"Horror"
"2189",31672907,1.1e+07,"Comedy"
"2190",64088552,1.1e+07,"Comedy"
"2199",40400657,2.8e+07,"Thriller"
"2201",26010864,5e+06,"Drama"
"2203",50671850,2.5e+07,"Horror"
"2204",46683377,7.5e+07,"Drama"
"2206",2807390,3e+06,"Comedy"
"2210",14567883,7.5e+07,"Action"
"2212",229400000,2e+07,"Comedy"
"2215",16324573,3500000,"Thriller"
"2217",23875127,2e+07,"Drama"
"2219",12902790,1.2e+07,"Comedy"
"2221",6451628,1e+07,"Drama"
"2222",116672912,7e+07,"Drama"
"2223",185991646,2.3e+07,"Comedy"
"2224",82150642,3e+07,"Drama"
"2226",40002112,6.5e+07,"Horror"
"2228",142940100,9e+07,"Fantasy"
"2232",7936012,9e+06,"Action"
"2236",2826523,4e+06,"Drama"
"2241",250649836,9e+07,"Action"
"2242",100491683,3e+07,"Animation"
"2243",363258859,1.2e+08,"Adventure"
"2245",5596708,2900000,"Drama"
"2249",6e+06,12000,"Horror"
"2252",4100000,2e+06,"Action"
"2254",1e+07,672000,"Action"
"2255",90614445,2.3e+07,"Adventure"
"2256",4711220,1e+07,"Action"
"2257",27400000,5e+06,"Comedy"
"2259",59612888,8e+06,"Comedy"
"2260",35150960,8045760,"Comedy"
"2261",6948633,17900000,"Adventure"
"2263",54999651,1e+07,"Comedy"
"2264",152427960,3e+07,"Adventure"
"2266",146198896,4500000,"Comedy"
"2272",69131860,9e+07,"Adventure"
"2273",10443316,1.5e+07,"Drama"
"2274",9247881,3500000,"Comedy"
"2275",9898412,3e+07,"Comedy"
"2277",37141130,6e+07,"Horror"
"2281",1.18e+08,7e+07,"Science Fiction"
"2282",218613188,7e+07,"Adventure"
"2283",17096053,9e+06,"Comedy"
"2284",289317794,2.5e+07,"Romance"
"2287",23717291,5e+07,"Family"
"2290",300400432,4.4e+07,"Action"
"2291",125212904,1.5e+07,"Action"
"2292",189015611,6.3e+07,"Action"
"2293",96773200,2.5e+07,"Action"
"2294",86572238,1e+07,"Action"
"2296",25024919,17500000,"Comedy"
"2297",200182160,7e+06,"Drama"
"2298",2.7e+08,1.7e+07,"Drama"
"2299",300473716,3.1e+07,"Drama"
"2300",119946358,4.2e+07,"Drama"
"2301",14643997,1.5e+07,"Comedy"
"2308",90815558,8e+06,"Drama"
"2309",115103979,113,"Adventure"
"2311",71320000,2.7e+07,"Comedy"
"2312",250821495,6.5e+07,"Comedy"
"2315",98126565,5.2e+07,"Drama"
"2316",40283321,1.5e+07,"Horror"
"2319",202292902,5e+07,"Comedy"
"2321",56702901,7e+07,"Drama"
"2324",21001563,1.2e+07,"Comedy"
"2327",6330054,6e+06,"Drama"
"2331",3970078,2e+07,"Drama"
"2336",14010690,7.5e+07,"Horror"
"2338",37962774,3.7e+07,"Comedy"
"2342",3e+06,7e+05,"Drama"
"2343",60629159,1.5e+07,"Horror"
"2346",15945534,1.2e+07,"Action"
"2347",30859000,85000,"Horror"
"2348",8025872,4700000,"Horror"
"2350",185898,6e+05,"Horror"
"2355",77200000,2e+07,"Drama"
"2357",41382841,1.8e+07,"Comedy"
"2358",328203506,5e+06,"Adventure"
"2362",52293982,13800000,"Drama"
"2364",42724017,1.5e+07,"Action"
"2373",103166989,1e+07,"Comedy"
"2375",13674,7300,"Action"
"2376",83957,150000,"Horror"
"2378",161626121,9e+07,"Drama"
"2379",4398989,6e+06,"Comedy"
"2384",40263020,3.5e+07,"Comedy"
"2385",118880016,8e+07,"Romance"
"2386",36850101,6.5e+07,"Comedy"
"2388",3076820,3e+06,"Comedy"
"2390",12827813,1e+07,"Comedy"
"2392",6852450,6e+06,"Comedy"
"2393",96618699,4e+07,"Thriller"
"2401",57469467,11500000,"Drama"
"2402",17092453,8e+06,"Horror"
"2403",6980986,9e+05,"Horror"
"2408",100489151,1e+07,"Action"
"2409",4.7e+07,3e+06,"Action"
"2410",3e+07,6e+06,"Action"
"2412",1.16e+08,1.4e+07,"Action"
"2416",2.5e+07,9e+06,"Adventure"
"2417",33395426,5800000,"Science Fiction"
"2418",18999718,3e+06,"Adventure"
"2419",8844595,1700000,"Action"
"2420",9700000,1700000,"Action"
"2421",12348905,2500000,"Action"
"2423",79666653,7e+06,"Action"
"2424",13015688,1.4e+07,"Action"
"2427",176885658,8e+07,"Comedy"
"2428",15156200,2.5e+07,"Action"
"2429",75902208,10500000,"Drama"
"2430",3897569,1350000,"Comedy"
"2434",28121100,3.8e+07,"Drama"
"2436",17762705,2.1e+07,"Horror"
"2439",8038508,1.3e+07,"Drama"
"2443",36450736,1.2e+07,"Science Fiction"
"2446",93888180,7.5e+07,"Romance"
"2447",1.2e+07,2.5e+07,"Animation"
"2453",21300000,4550000,"Drama"
"2456",13260050,5e+07,"Action"
"2459",463517383,6.3e+07,"Action"
"2460",53478166,1.6e+07,"Comedy"
"2462",2.9e+07,7.5e+07,"Comedy"
"2467",48482,6000,"Crime"
"2468",28451622,6500000,"Crime"
"2469",84565230,2.5e+07,"Romance"
"2470",8359717,1e+07,"Comedy"
"2471",10920544,1e+07,"Comedy"
"2475",73345029,8e+07,"Comedy"
"2481",368234,2900000,"Drama"
"2484",100,1,"Comedy"
"2487",2856712,1.5e+07,"Action"
"2492",212404396,6.6e+07,"Romance"
"2493",4152230,2.5e+07,"Thriller"
"2499",5638000,1453000,"Crime"
"2500",14418922,3e+06,"Comedy"
"2503",103738726,4.7e+07,"Adventure"
"2504",415885488,8e+07,"Adventure"
"2505",861789,786675,"Drama"
"2513",870751,1500000,"Comedy"
"2515",924317558,1.15e+08,"Adventure"
"2527",300218018,5.5e+07,"Action"
"2528",190458706,5.4e+07,"Action"
"2529",75850624,3.9e+07,"Comedy"
"2530",19300000,1.7e+07,"Action"
"2531",1012189,355000,"Horror"
"2534",1.2e+07,291000,"Drama"
"2543",112892319,1200000,"Comedy"
"2545",2091037,5e+06,"Comedy"
"2548",2e+06,2e+06,"Horror"
"2557",363889678,4.2e+07,"Romance"
"2558",18564088,1.6e+07,"Thriller"
"2568",1997807,8e+06,"Adventure"
"2569",310940086,3.3e+07,"Adventure"
"2572",9495408,1.8e+07,"Drama"
"2573",4.48e+08,1.5e+08,"Adventure"
"2574",149705852,6e+07,"Crime"
"2576",18535191,1.4e+07,"Drama"
"2578",7267585,1530000,"Action"
"2580",234801895,34200000,"Comedy"
"2582",78599508,12500000,"Comedy"
"2585",53208180,3.1e+07,"Comedy"
"2587",222104681,1.7e+08,"Action"
"2592",235483004,1.1e+07,"Comedy"
"2595",16290976,2.4e+07,"Fantasy"
"2596",2.48e+08,60000,"Horror"
"2598",162091208,6.5e+07,"Mystery"
"2599",56870414,2.7e+07,"Horror"
"2600",25059640,6e+06,"Comedy"
"2602",295212467,3e+07,"Comedy"
"2603",215394738,3.7e+07,"Comedy"
"2604",10571408,1e+07,"Comedy"
"2605",91188905,8e+07,"Horror"
"2607",2049595,450000,"Comedy"
"2608",73648228,6e+07,"Action"
"2609",29762011,6.8e+07,"Adventure"
"2610",309457509,7e+07,"Comedy"
"2614",6e+07,1.2e+07,"Action"
"2615",9250000,2e+06,"Drama"
"2616",2e+07,1.1e+07,"Drama"
"2619",1883811,1884000,"Romance"
"2621",79817939,2.5e+07,"Action"
"2625",146292009,1.5e+07,"Drama"
"2629",1301121,2e+06,"Drama"
"2631",17218023,24500000,"Adventure"
"2632",38748395,2.5e+07,"Horror"
"2645",27500000,1.3e+07,"Comedy"
"2647",23159305,7e+07,"Adventure"
"2648",672806292,4e+07,"Mystery"
"2649",124305181,4.8e+07,"Drama"
"2657",1.3e+07,2.5e+07,"Drama"
"2658",4217115,6500000,"Comedy"
"2664",6,6400000,"Thriller"
"2666",1499275,350000,"Comedy"
"2668",2e+06,2e+05,"Fantasy"
"2675",26518355,6800000,"Action"
"2677",83453539,3500000,"Comedy"
"2679",26570463,2.2e+07,"Horror"
"2681",61399552,1.5e+07,"Comedy"
"2683",151668774,1.8e+07,"Fantasy"
"2689",195268056,4.5e+07,"Drama"
"2692",8946237,1.3e+07,"Comedy"
"2693",10667893,4.5e+07,"Action"
"2698",14011454,7e+06,"Drama"
"2712",61698899,1.6e+08,"Adventure"
"2713",19598588,7.5e+07,"Drama"
"2721",11263966,7e+07,"Action"
"2722",7292175,7e+06,"Romance"
"2726",50041732,2.9e+07,"Horror"
"2727",21133087,1.2e+07,"Horror"
"2737",21821347,6e+06,"Drama"
"2743",356296601,1.5e+07,"Drama"
"2744",4978922,1200000,"Documentary"
"2745",117758500,6.5e+07,"Action"
"2747",23438120,17500000,"Drama"
"2748",12299668,560000,"Comedy"
"2751",14363400,1200000,"Drama"
"2752",24922237,9e+06,"Horror"
"2756",46122355,2e+06,"Drama"
"2757",34967437,1.1e+07,"Fantasy"
"2761",11373501,2.8e+07,"Animation"
"2762",34251525,5e+06,"Drama"
"2766",177841558,7e+07,"Crime"
"2770",614202,2600000,"Drama"
"2773",22593409,8e+06,"Drama"
"2774",8888143,2.8e+07,"Drama"
"2775",1.08e+08,7.5e+07,"Action"
"2776",1943649,1700000,"Comedy"
"2783",10611160,1.5e+07,"Mystery"
"2785",5344577,7e+06,"Thriller"
"2786",11988469,3e+05,"Horror"
"2787",34725000,5e+06,"Horror"
"2791",74608570,6.4e+07,"Drama"
"2793",11540607,2e+06,"Crime"
"2797",3193102,1e+07,"Action"
"2800",63541777,6200000,"Comedy"
"2801",261317921,6.5e+07,"Action"
"2803",70136369,6e+06,"Comedy"
"2804",1317657,6e+06,"War"
"2806",15700000,5500000,"Western"
"2807",6800000,1800000,"Western"
"2814",40382659,3.2e+07,"Drama"
"2824",8500000,1250000,"Crime"
"2826",36800000,6e+06,"Music"
"2827",92921203,4e+06,"Drama"
"2829",45300000,5400000,"Action"
"2832",124881062,2500000,"Adventure"
"2833",78898765,2e+06,"Action"
"2834",59600000,950000,"Adventure"
"2835",58853106,4500000,"Romance"
"2836",14500000,2e+05,"Western"
"2837",222559,3e+06,"Drama"
"2838",358991681,1.8e+07,"Comedy"
"2841",10278549,1.7e+07,"Crime"
"2842",966878,463455,"Drama"
"2843",10508,7e+05,"Drama"
"2844",100853753,6.3e+07,"Drama"
"2846",58900031,5e+07,"Comedy"
"2853",42365581,5e+06,"Family"
"2858",18254702,1.9e+07,"Comedy"
"2860",34573780,9e+06,"Drama"
"2870",5.3e+07,1.3e+07,"Action"
"2871",45681173,3.5e+07,"Action"
"2872",329803958,7e+07,"Fantasy"
"2874",195312802,2.8e+07,"Adventure"
"2875",156167015,3.2e+07,"Adventure"
"2876",161777836,7e+06,"Adventure"
"2878",141195658,5500000,"Adventure"
"2880",40846082,1.9e+07,"Horror"
"2881",14859394,2.7e+07,"Drama"
"2882",22863596,1.3e+07,"Fantasy"
"2883",7,2e+06,"Romance"
"2885",159375308,26500000,"Adventure"
"2889",36911617,5.1e+07,"Comedy"
"2890",151493655,7.3e+07,"Drama"
"2891",60289912,9e+07,"Drama"
"2901",21028755,8e+06,"Horror"
"2902",1.4e+07,3500000,"Horror"
"2903",2023414,9e+05,"Science Fiction"
"2904",4729352,2500000,"Crime"
"2905",40903593,2.5e+07,"Crime"
"2908",1027757,483103,"Drama"
"2913",19905359,5e+06,"Action"
"2917",38119483,22700000,"Comedy"
"2918",32056467,1.5e+07,"Animation"
"2920",55260558,1.2e+07,"Adventure"
"2921",31559552,1.5e+07,"Adventure"
"2923",90400000,40600000,"Comedy"
"2932",2297493,2e+07,"Comedy"
"2935",18653615,2.3e+07,"Drama"
"2936",30652890,1e+07,"Fantasy"
"2937",66976317,6e+07,"Adventure"
"2938",163644662,3e+07,"Animation"
"2946",50100000,1e+07,"Action"
"2950",29548291,25485000,"History"
"2951",7179298,7e+05,"Comedy"
"2952",53977250,1.6e+07,"Drama"
"2965",206071502,1e+08,"Drama"
"2966",361832400,1.35e+08,"Adventure"
"2967",67872296,8272296,"Comedy"
"2973",361712,133000,"Drama"
"2974",1680358,4e+06,"Drama"
"2982",47951979,2.8e+07,"Drama"
"2985",320145693,1.4e+07,"Romance"
"2987",5820015,2.3e+07,"Drama"
"2988",38413606,3e+07,"Adventure"
"2991",152368585,7.5e+07,"Action"
"2992",41895491,2.4e+07,"Comedy"
"2993",11500000,1.8e+07,"Drama"
"2997",211989043,1e+08,"Action"
"2998",497366869,9e+07,"Animation"
"3001",635096,3.8e+07,"Drama"
"3002",1281176,312000,"Comedy"
"3009",10827816,2.3e+07,"Drama"
"3014",15691192,4.7e+07,"Comedy"
"3025",1e+07,1.9e+07,"Crime"
"3030",65535067,1.7e+07,"Comedy"
"3031",284600000,6e+07,"Fantasy"
"3032",88545092,2.4e+07,"Drama"
"3036",29133000,1300000,"Drama"
"3040",93700000,1e+08,"Comedy"
"3041",300135367,1.33e+08,"Animation"
"3043",90874570,8e+07,"Animation"
"3044",48451803,3.7e+07,"Drama"
"3045",206128,1.4e+07,"Drama"
"3046",929606,1e+07,"Comedy"
"3057",100230832,5.5e+07,"Drama"
"3058",47434430,8.2e+07,"Comedy"
"3059",90683916,4.5e+07,"Comedy"
"3060",128798265,4e+07,"Thriller"
"3061",59827328,1.1e+07,"Comedy"
"3062",73956241,5e+07,"Drama"
"3063",13,25,"Drama"
"3064",8434146,2.4e+07,"Comedy"
"3074",14828081,9e+07,"Horror"
"3076",140021,24554,"Drama"
"3081",53267000,1.2e+07,"Crime"
"3086",7825000,1e+07,"Crime"
"3093",27092880,4500000,"Comedy"
"3094",6908797,1.5e+07,"Drama"
"3096",5617391,6e+06,"Action"
"3101",609524,250000,"Drama"
"3122",3003296,3.6e+07,"Drama"
"3129",48169908,3.4e+07,"Drama"
"3130",231605150,3.1e+07,"Music"
"3131",57319029,3.8e+07,"Music"
"3132",88036683,11700000,"Thriller"
"3133",36733909,3.2e+07,"Action"
"3135",134095253,3.1e+07,"Drama"
"3136",121697323,2e+07,"Music"
"3138",107458785,4e+07,"Comedy"
"3139",178051587,4.5e+07,"Drama"
"3140",411006740,2.5e+07,"Thriller"
"3141",149022650,5.5e+07,"Fantasy"
"3142",137783840,6e+07,"Adventure"
"3145",4160851,1e+07,"Drama"
"3147",16624456,7e+06,"Action"
"3150",2040920,220000,"Action"
"3155",2019469,1e+06,"Crime"
"3156",161834276,4e+07,"Horror"
"3157",48017402,1.6e+07,"Thriller"
"3158",30471,6e+06,"Action"
"3159",1631839,1e+07,"Action"
"3168",144056873,4e+07,"Drama"
"3170",45554533,3e+07,"Animation"
"3174",1160268,2e+05,"Drama"
"3181",28780255,2.6e+07,"Crime"
"3182",36037909,4e+07,"Comedy"
"3183",53187659,2.3e+07,"Thriller"
"3184",106371651,41300000,"Comedy"
"3190",19181,1500000,"Comedy"
"3193",2500000,250000,"Comedy"
"3199",32168970,4.2e+07,"Thriller"
"3205",9e+06,6e+06,"Action"
"3207",15427192,1.6e+07,"Comedy"
"3208",24362772,2.5e+07,"Comedy"
"3210",5e+05,2053648,"Documentary"
"3225",1400000,1.2e+07,"Drama"
"3227",4e+06,24500,"Horror"
"3237",60874615,9e+07,"Science Fiction"
"3238",58401898,3.8e+07,"Horror"
"3242",2e+07,2300000,"Drama"
"3243",28607524,9e+06,"Drama"
"3244",50888000,7e+06,"Comedy"
"3245",46665856,1800000,"Crime"
"3246",1.4e+08,777000,"Comedy"
"3268",205405498,4e+07,"Drama"
"3276",39321715,1.8e+07,"Comedy"
"3277",5669831,1.2e+07,"Action"
"3286",4905000,1805000,"Drama"
"3290",256271286,5.2e+07,"Drama"
"3291",53302314,2.3e+07,"Horror"
"3299",45361000,1.6e+07,"Drama"
"3302",1.41e+08,2700000,"Comedy"
"3305",37295445,6500000,"Drama"
"3306",16153593,1e+07,"Drama"
"3307",32482682,1.4e+07,"Drama"
"3311",2.2e+07,3e+06,"Action"
"3312",4.5e+07,2e+06,"Action"
"3313",16945171,9e+06,"Action"
"3315",1702394,5e+06,"Action"
"3316",2500000,927262,"Drama"
"3318",1193062,6e+06,"Drama"
"3319",2.02e+08,13500000,"Science Fiction"
"3320",7.8e+07,2.5e+07,"Science Fiction"
"3321",4.2e+07,2.1e+07,"Action"
"3322",38376497,4200000,"Action"
"3323",4865912,8700000,"Action"
"3325",11806119,1500000,"Action"
"3326",2e+07,7e+06,"Drama"
"3329",123922370,1.3e+07,"Comedy"
"3332",56666667,4e+06,"Comedy"
"3333",91036760,2.5e+07,"Action"
"3335",9902115,1.5e+07,"Drama"
"3338",327418,8500000,"Drama"
"3343",8500000,1,"Drama"
"3348",1e+07,2500000,"Action"
"3349",7600000,2e+06,"Drama"
"3352",303788635,2e+07,"Science Fiction"
"3357",25965144,2.5e+07,"Drama"
"3359",54215416,6500000,"Drama"
"3360",18432000,2e+07,"Adventure"
"3361",8200000,6e+06,"Comedy"
"3362",47126295,3e+07,"Comedy"
"3363",76432727,9.5e+07,"Adventure"
"3364",35007180,1.5e+07,"Crime"
"3367",6e+06,4653000,"Western"
"3369",300854823,7e+07,"Adventure"
"3378",3.5e+07,2300000,"Drama"
"3379",61276872,2e+07,"Drama"
"3380",13300000,4.3e+07,"Drama"
"3381",30867525,1.3e+07,"Comedy"
"3384",23689877,3800000,"Drama"
"3385",35509515,1.5e+07,"Action"
"3388",31800000,3700000,"Drama"
"3389",5241315,1e+07,"Drama"
"3390",68106245,3.1e+07,"Crime"
"3391",12372410,2.4e+07,"Action"
"3392",36609995,2.4e+07,"Romance"
"3393",7.1e+07,6e+07,"Action"
"3399",7230000,5e+06,"Action"
"3404",95461682,7e+06,"Comedy"
"3405",38435947,6e+06,"Comedy"
"3407",98235548,1.8e+07,"Science Fiction"
"3408",74787599,3e+07,"Drama"
"3414",34266564,7e+06,"Thriller"
"3415",37036004,3e+07,"Comedy"
"3417",28200000,3800000,"Comedy"
"3430",21709020,6500000,"Thriller"
"3431",39846344,6e+06,"Comedy"
"3432",5108820,1.4e+07,"Drama"
"3433",27728118,2e+07,"Action"
"3434",127666415,6.2e+07,"Action"
"3435",10409377,6e+06,"Drama"
"3436",11390479,2e+07,"Crime"
"3443",59468275,8.3e+07,"Science Fiction"
"3444",33771174,1.5e+07,"Comedy"
"3445",3728888,7e+06,"Comedy"
"3448",7235,2500000,"Drama"
"3451",1753979,1e+06,"Horror"
"3457",457640427,1.03e+08,"Action"
"3460",4e+06,6e+05,"Comedy"
"3469",4e+06,160000,"Drama"
"3472",21400000,4.4e+07,"Action"
"3473",17200925,1.8e+07,"Drama"
"3477",1568749,2e+06,"Drama"
"3487",40940662,6e+06,"Adventure"
"3494",354248063,127500000,"Animation"
"3496",119754278,1.6e+07,"Comedy"
"3498",1e+07,2500000,"Comedy"
"3499",458815,2e+06,"Drama"
"3502",546388105,1.25e+08,"Adventure"
"3503",56932305,5.5e+07,"Adventure"
"3508",2500000,923000,"Adventure"
"3512",81974493,6500000,"Adventure"
"3514",185438673,1.4e+07,"Adventure"
"3517",210308099,3.4e+07,"Action"
"3518",97572000,7e+06,"Adventure"
"3525",173959438,3e+07,"Crime"
"3528",22743674,4800000,"Thriller"
"3533",28900000,6e+06,"Action"
"3548",10736401,2.5e+07,"Comedy"
"3550",119500000,2600000,"Western"
"3555",7e+06,10000,"Drama"
"3560",1.5e+07,6e+05,"Western"
"3565",61489265,2.6e+07,"Drama"
"3567",125728258,4e+06,"Comedy"
"3568",33759266,6500000,"Comedy"
"3569",20518905,9e+06,"Comedy"
"3576",57120318,3.5e+07,"Science Fiction"
"3577",38122105,2.7e+07,"Action"
"3578",28744356,2.2e+07,"Action"
"3580",32155047,1.6e+07,"Crime"
"3581",1e+08,4e+05,"Adventure"
"3582",24600832,2e+06,"Adventure"
"3583",36230219,12305523,"Action"
"3585",17185632,1.7e+07,"Horror"
"3586",6735922,1.7e+07,"Drama"
"3587",17080167,1.5e+07,"Fantasy"
"3589",20256975,7e+06,"Action"
"3596",237202299,9e+07,"Action"
"3598",299792,1.3e+07,"Comedy"
"3608",12121618,4e+06,"Adventure"
"3609",4420000,1600000,"Crime"
"3611",2.4e+07,5500000,"Horror"
"3614",29800000,3e+06,"Crime"
"3615",1300000,1821052,"Drama"
"3617",12800000,3e+06,"Crime"
"3619",1.1e+07,2.5e+07,"Action"
"3622",20627372,1.6e+07,"Comedy"
"3623",107196498,4.6e+07,"Action"
"3624",36754634,7.5e+07,"Animation"
"3625",6e+06,3e+06,"Drama"
"3630",224834564,4.5e+07,"Animation"
"3631",149270999,5.1e+07,"Comedy"
"3632",215294342,1.1e+08,"Drama"
"3633",35134820,7.6e+07,"Action"
"3634",325756637,1.2e+08,"Drama"
"3645",22812411,1500000,"Action"
"3646",10755447,2410000,"Action"
"3652",26386000,2500000,"Comedy"
"3660",1458000,2142000,"Adventure"
"3661",1e+07,1978000,"Action"
"3663",69700000,6.5e+07,"Fantasy"
"3664",278019771,1.9e+07,"Comedy"
"3665",2600000,1200000,"Comedy"
"3670",80035402,8200000,"Drama"
"3671",20400000,6e+06,"Western"
"3672",296339527,7.5e+07,"Adventure"
"3676",5217498,1.5e+07,"Thriller"
"3677",155464351,1e+08,"Drama"
"3678",133949270,3e+07,"Adventure"
"3686",1.6e+07,3500000,"Action"
"3688",63710000,3.5e+07,"Comedy"
"3691",18016290,2e+06,"Comedy"
"3693",20173742,3e+06,"History"
"3699",123307945,8.4e+07,"Fantasy"
"3703",113916474,4.5e+07,"Comedy"
"3704",190213455,9.5e+07,"Action"
"3705",128884132,6.5e+07,"Action"
"3709",26330482,1e+07,"Crime"
"3713",13609396,6e+06,"Drama"
"3714",5200000,4e+06,"Adventure"
"3715",7282851,3e+06,"Action"
"3718",4385516,3500000,"Fantasy"
"3725",3180674,3e+07,"Drama"
"3740",104155843,3.3e+07,"Horror"
"3741",10037390,1e+06,"Adventure"
"3745",78756177,1.2e+07,"Comedy"
"3746",86930411,2.3e+07,"Comedy"
"3748",2e+07,3100000,"Drama"
"3754",14296438,3.5e+07,"Adventure"
"3756",30199105,4e+07,"Crime"
"3759",90449929,2.8e+07,"Comedy"
"3766",15843608,2.5e+07,"Action"
"3773",19125401,8500000,"Action"
"3774",47383689,6e+07,"Drama"
"3783",260562,2.5e+07,"Mystery"
"3785",38574362,1.4e+07,"Horror"
"3787",40031879,12800000,"Drama"
"3791",1744858,1e+06,"Comedy"
"3793",136706683,3e+07,"Drama"
"3794",14564027,1e+06,"Horror"
"3795",12090735,3e+06,"Horror"
"3796",12534961,5e+06,"Horror"
"3803",7e+06,1580000,"Adventure"
"3804",1.2e+07,5115000,"Adventure"
"3822",19412993,63600000,"Action"
"3824",330444045,5.5e+07,"Comedy"
"3825",7390108,4500000,"Crime"
"3831",13700000,2.4e+07,"Comedy"
"3837",3.5e+07,1e+06,"Comedy"
"3843",1.1e+08,5e+06,"Drama"
"3844",90383208,4.8e+07,"Fantasy"
"3845",55707411,4e+07,"Drama"
"3850",13555988,2.2e+07,"Family"
"3853",264105545,9.2e+07,"Action"
"3854",39459427,8e+07,"Fantasy"
"3856",48814909,3.2e+07,"Drama"
"3857",33463969,8e+07,"Thriller"
"3860",116019547,7200000,"Adventure"
"3862",96085477,8.2e+07,"Science Fiction"
"3863",36779296,3.5e+07,"Drama"
"3864",345141403,1.23e+08,"Family"
"3866",103,30,"Adventure"
"3867",183611771,8.5e+07,"Comedy"
"3869",7060876,13500000,"Drama"
"3870",248118121,7.5e+07,"Science Fiction"
"3872",213525736,1.7e+07,"Adventure"
"3873",15185241,3.5e+07,"Action"
